condition_id,chunk_size,retrieval_strategy,indexing_representation,breakdown_type,breakdown_value,metric,value,n_scored
chunk200_hybrid,200,hybrid,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.1625,40
chunk200_hybrid,200,hybrid,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.09020833333333333,40
chunk200_hybrid,200,hybrid,text_only,category,factual,anchor_coverage_at_5,0.2857142857142857,14
chunk200_hybrid,200,hybrid,text_only,category,factual,mean_reciprocal_rank_at_5,0.17142857142857143,14
chunk200_hybrid,200,hybrid,text_only,category,thematic,anchor_coverage_at_5,0.06666666666666667,15
chunk200_hybrid,200,hybrid,text_only,category,thematic,mean_reciprocal_rank_at_5,0.04444444444444444,15
chunk200_hybrid,200,hybrid,text_only,category,comparative,anchor_coverage_at_5,0.13636363636363635,11
chunk200_hybrid,200,hybrid,text_only,category,comparative,mean_reciprocal_rank_at_5,0.04924242424242424,11
chunk200_hybrid,200,hybrid,text_only,chunk_size_sensitive,True,anchor_coverage_at_5,0.35714285714285715,7
chunk200_hybrid,200,hybrid,text_only,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.24285714285714285,7
chunk200_hybrid,200,hybrid,text_only,chunk_size_sensitive,False,anchor_coverage_at_5,0.12121212121212122,33
chunk200_hybrid,200,hybrid,text_only,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.057828282828282826,33
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.39166666666666666,40
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.29006944444444444,40
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,factual,anchor_coverage_at_5,0.7857142857142857,14
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,factual,mean_reciprocal_rank_at_5,0.6547619047619048,14
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,thematic,anchor_coverage_at_5,0.1111111111111111,15
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,thematic,mean_reciprocal_rank_at_5,0.03629629629629629,15
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,comparative,anchor_coverage_at_5,0.2727272727272727,11
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,category,comparative,mean_reciprocal_rank_at_5,0.17196969696969697,11
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,chunk_size_sensitive,True,anchor_coverage_at_5,0.42857142857142855,7
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.17261904761904762,7
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,chunk_size_sensitive,False,anchor_coverage_at_5,0.3838383838383838,33
chunk200_hybrid_enriched,200,hybrid,metadata_enriched,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.314983164983165,33
chunk500_bm25,500,bm25,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.1375,40
chunk500_bm25,500,bm25,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.07375000000000001,40
chunk500_bm25,500,bm25,text_only,category,factual,anchor_coverage_at_5,0.21428571428571427,14
chunk500_bm25,500,bm25,text_only,category,factual,mean_reciprocal_rank_at_5,0.12142857142857143,14
chunk500_bm25,500,bm25,text_only,category,thematic,anchor_coverage_at_5,0.03333333333333333,15
chunk500_bm25,500,bm25,text_only,category,thematic,mean_reciprocal_rank_at_5,0.01111111111111111,15
chunk500_bm25,500,bm25,text_only,category,comparative,anchor_coverage_at_5,0.18181818181818182,11
chunk500_bm25,500,bm25,text_only,category,comparative,mean_reciprocal_rank_at_5,0.09848484848484848,11
chunk500_bm25,500,bm25,text_only,chunk_size_sensitive,True,anchor_coverage_at_5,0.0,7
chunk500_bm25,500,bm25,text_only,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.0,7
chunk500_bm25,500,bm25,text_only,chunk_size_sensitive,False,anchor_coverage_at_5,0.16666666666666666,33
chunk500_bm25,500,bm25,text_only,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.0893939393939394,33
chunk500_bm25_enriched,500,bm25,metadata_enriched,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.2,40
chunk500_bm25_enriched,500,bm25,metadata_enriched,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.07729166666666668,40
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,factual,anchor_coverage_at_5,0.42857142857142855,14
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,factual,mean_reciprocal_rank_at_5,0.1464285714285714,14
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,thematic,anchor_coverage_at_5,0.03333333333333333,15
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,thematic,mean_reciprocal_rank_at_5,0.01111111111111111,15
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,comparative,anchor_coverage_at_5,0.13636363636363635,11
chunk500_bm25_enriched,500,bm25,metadata_enriched,category,comparative,mean_reciprocal_rank_at_5,0.07954545454545454,11
chunk500_bm25_enriched,500,bm25,metadata_enriched,chunk_size_sensitive,True,anchor_coverage_at_5,0.21428571428571427,7
chunk500_bm25_enriched,500,bm25,metadata_enriched,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.04642857142857143,7
chunk500_bm25_enriched,500,bm25,metadata_enriched,chunk_size_sensitive,False,anchor_coverage_at_5,0.19696969696969696,33
chunk500_bm25_enriched,500,bm25,metadata_enriched,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.08383838383838384,33
chunk500_dense,500,dense,text_only,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.1125,40
chunk500_dense,500,dense,text_only,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.07291666666666666,40
chunk500_dense,500,dense,text_only,category,factual,anchor_coverage_at_5,0.07142857142857142,14
chunk500_dense,500,dense,text_only,category,factual,mean_reciprocal_rank_at_5,0.023809523809523808,14
chunk500_dense,500,dense,text_only,category,thematic,anchor_coverage_at_5,0.1,15
chunk500_dense,500,dense,text_only,category,thematic,mean_reciprocal_rank_at_5,0.07777777777777778,15
chunk500_dense,500,dense,text_only,category,comparative,anchor_coverage_at_5,0.18181818181818182,11
chunk500_dense,500,dense,text_only,category,comparative,mean_reciprocal_rank_at_5,0.12878787878787878,11
chunk500_dense,500,dense,text_only,chunk_size_sensitive,True,anchor_coverage_at_5,0.07142857142857142,7
chunk500_dense,500,dense,text_only,chunk_size_sensitive,True,mean_reciprocal_rank_at_5,0.07142857142857142,7
chunk500_dense,500,dense,text_only,chunk_size_sensitive,False,anchor_coverage_at_5,0.12121212121212122,33
chunk500_dense,500,dense,text_only,chunk_size_sensitive,False,mean_reciprocal_rank_at_5,0.07323232323232323,33
chunk500_dense_enriched,500,dense,metadata_enriched,overall_not_cross_category_comparable,all,anchor_coverage_at_5,0.375,40
chunk500_dense_enriched,500,dense,metadata_enriched,overall_not_cross_category_comparable,all,mean_reciprocal_rank_at_5,0.28979166666666667,40
chunk500_dense_enriched,500,dense,metadata_enriched,category,factual,anchor_coverage_at_5,0.7142857142857143,14
chunk500_dense_enriched,500,dense,metadata_enriched,category,factual,mean_reciprocal_rank_at_5,0.619047619047619,14
