family,scope,metric,a,b,win,loss,tie,n_nonzero,W,p_raw,p_holm,r,testable
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,9,13,18,22,117.5,0.7698014836092583,1.0,-0.062295298987653895,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,16,3,21,19,7.5,0.0004221527287144085,0.005910138202001719,-0.8078165967301584,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,6,6,28,12,38.5,0.9686278814116681,1.0,-0.01132277034144596,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,9,9,22,18,75.5,0.6625959372280352,1.0,-0.10264917263239777,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,3,17,20,20,24.0,0.0024239535462439216,0.03151139610117098,-0.6761749356150425,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,17,23,17,0.0,0.00028734688212536007,0.0043102032318804015,-0.8783100656536799,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,7,7,26,14,43.5,0.5718922635979182,1.0,-0.1509994850180666,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,1,5,8,6,3.5,0.10247043485974941,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,1,5,8,6,3.5,0.10247043485974941,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,3,2,9,5,6.0,0.6547208460185769,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,2,5,7,7,8.0,0.25683925795785656,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,1,4,9,5,3.0,0.17971249487899976,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,0,0,14,0,,,,,False
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,5,0,9,5,0.0,0.025347318677468252,0.3548624614845555,,True
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,1,0,13,1,0.0,0.31731050786291415,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,1,0,13,1,0.0,0.31731050786291415,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,5,0,9,5,0.0,0.025347318677468252,0.3548624614845555,,True
Family 3,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,1,0,13,1,0.0,0.31731050786291415,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,1,0,13,1,0.0,0.31731050786291415,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,1,5,8,6,3.5,0.10247043485974941,1.0,,True
Family 3,factual,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,4,10,4,0.0,0.04550026389635839,0.5460031667563007,,True
Family 3,factual,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,1,1,12,2,1.5,1.0,1.0,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,3,8,3,11,22.5,0.34837650549797505,1.0,-0.2814800981138945,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,1,8,5,9,7.5,0.07274204006810549,0.8001624407491603,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,5,3,6,8,8.5,0.18181616460470695,1.0,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,2,8,4,10,15.0,0.19219903638649327,1.0,-0.40291148201269017,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,3,7,4,10,16.5,0.2603272787106181,1.0,-0.35456210417116735,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,2,5,7,7,4.0,0.08808151166219029,0.8808151166219029,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,9,1,4,10,6.0,0.027904030795170242,0.3627524003372131,-0.693007749061827,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_dense_enriched,2,5,7,7,5.0,0.12750833049058283,1.0,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,5,5,4,10,26.0,0.8779299426114896,1.0,-0.048349377841522816,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,10,0,4,10,0.0,0.004753229214898705,0.07129843822348057,-0.8864052604279182,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,2,2,10,4,3.5,0.5807121621890252,1.0,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,5,2,7,7,7.0,0.23420128325876344,1.0,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,1,10,3,11,9.0,0.030295168108521862,0.3635420173022623,-0.6433830814031875,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,9,5,9,0.0,0.007420961287866498,0.10389345803013098,,True
Family 3,factual,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,5,2,7,7,10.5,0.5526912087941886,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,1,3,11,4,3.0,0.4496917979688909,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,0,2,13,2,0.0,0.17971249487899976,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,0,0,15,0,,,,,False
Family 3,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,0,3,12,3,0.0,0.0832645166635504,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,0,3,12,3,0.0,0.0832645166635504,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,1,2,12,3,2.5,0.7854947471183542,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,3,1,11,4,3.0,0.4496917979688909,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,1,2,12,3,1.0,0.27630291733748347,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,1,2,12,3,1.0,0.27630291733748347,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,2,0,13,2,0.0,0.17971249487899976,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,1,2,12,3,3.0,1.0,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,1,2,12,3,3.0,1.0,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,0,3,12,3,0.0,0.0832645166635504,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,3,12,3,0.0,0.0832645166635504,1.0,,True
Family 3,thematic,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,0,0,15,0,,,,,False
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,1,3,11,4,1.0,0.14077277337135014,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,1,2,12,3,1.0,0.28504940740261275,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,0,1,14,1,0.0,0.31731050786291415,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,1,3,11,4,1.0,0.14412703481601533,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,0,4,11,4,0.0,0.0633177868300456,0.949766802450684,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,1,3,11,4,4.0,0.7150006546880893,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,3,1,11,4,2.0,0.25683925795785656,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_dense_enriched,1,3,11,4,4.0,0.7127018566581784,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,1,3,11,4,2.0,0.27332167829229814,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,2,1,12,3,1.0,0.28504940740261275,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,1,2,12,3,2.0,0.5929800980174267,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,1,4,10,5,3.0,0.22491588401596185,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,1,3,11,4,1.0,0.14412703481601533,1.0,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,4,11,4,0.0,0.06559969214707187,0.949766802450684,,True
Family 3,thematic,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,0,3,12,3,0.0,0.10880943004054568,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,0,4,7,4,0.0,0.125,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,0,2,9,2,0.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,2,1,8,3,2.0,1.0,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,0,2,9,2,0.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,1,2,8,3,2.0,1.0,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,3,1,7,4,2.5,0.625,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,4,0,7,4,0.0,0.125,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,2,0,9,2,0.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,3,1,7,4,2.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,4,1,6,5,3.0,0.375,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,2,2,7,4,5.0,1.0,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,3,2,6,5,6.0,1.0,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,1,3,7,4,2.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,2,9,2,0.0,0.5,1.0,,True
Family 3,comparative,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,2,2,7,4,4.0,1.0,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,2,5,4,7,9.0,0.46875,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,0,4,7,4,0.0,0.125,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,2,2,7,4,4.5,1.0,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,0,3,8,3,0.0,0.25,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,1,3,7,4,1.5,0.375,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,4,3,4,7,12.0,0.8125,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,4,2,5,6,5.0,0.3125,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_dense_enriched,4,3,4,7,12.0,0.78125,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,3,5,3,8,18.0,1.0,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,4,2,5,6,4.5,0.25,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,3,2,6,5,6.5,0.9375,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,3,3,5,6,9.5,0.875,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,1,4,6,5,2.0,0.1875,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,4,7,4,0.0,0.125,1.0,,True
Family 3,comparative,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,2,2,7,4,5.0,1.0,1.0,,True
