family,scope,metric,a,b,win,loss,tie,n_nonzero,W,p_raw,p_holm,r,testable
Family 1,comparative,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,1,8,3,2.0,1.0,1.0,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,3,0,8,3,0.0,0.25,1.0,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,7,0,4,7,0.0,0.015625,0.09375,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,6,0,5,6,0.0,0.03125,0.15625,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,1,2,8,3,1.0,0.5,1.0,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,3,0,8,3,0.0,0.25,1.0,,True
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,1,8,3,1.0,0.5,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,4,2,34,6,6.0,0.338724147759658,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,1,3,36,4,2.0,0.25683925795785656,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,3,4,33,7,13.0,0.8623197383894363,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,3,4,33,7,11.5,0.6646116295410063,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,2,4,34,6,10.0,0.9146213878996874,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,1,5,34,6,1.0,0.043416880216799444,0.6512532032519917,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,4,7,29,11,23.0,0.3642913030897019,1.0,-0.26807628391799476,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_dense,3,6,31,9,17.0,0.5055707258803321,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,3,7,30,10,18.0,0.32326874915737525,1.0,-0.3062127263296445,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,6,5,29,11,28.5,0.6807533824170628,1.0,-0.12063432776309765,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,5,4,31,9,14.5,0.3301911186033427,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,3,3,34,6,7.5,0.5164122683960384,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,4,4,32,8,14.0,0.5657197991441898,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,3,4,33,7,13.5,0.9309012350403777,1.0,,True
Family 2,pooled,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,2,3,35,5,5.5,0.580912420333197,1.0,,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,6,3,31,9,13.5,0.2858975599599568,1.0,,True
