family,scope,metric,a,b,n,n_nonzero,size_only,p_raw,p_min_attainable,attainable_below_05
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,40,6,False,0.338724147759658,0.0255968,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,40,4,False,0.25683925795785656,0.0587817,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,40,7,True,0.8623197383894363,0.0151862,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,40,7,False,0.6646116295410063,0.0151862,True
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,40,6,False,0.9146213878996874,0.0243579,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,40,6,False,0.043416880216799444,0.0255968,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,40,11,False,0.3642913030897019,0.00275508,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_dense,40,9,True,0.5055707258803321,0.00645895,True
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,40,10,False,0.32326874915737525,0.00424559,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,40,11,False,0.6807533824170628,0.00255128,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,40,9,False,0.3301911186033427,0.0061699,True
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,40,6,True,0.5164122683960384,0.0231409,True
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,40,8,False,0.5657197991441898,0.00974781,True
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,40,7,False,0.9309012350403777,0.0151862,True
Family 2,pooled,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,40,5,False,0.580912420333197,0.0384339,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,40,9,False,0.2858975599599568,0.00763244,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,40,8,False,0.5260658393071347,0.0112097,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,40,8,True,0.6236388261276493,0.011616,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,40,10,False,0.5067954114046354,0.00497673,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,40,10,False,0.18457255283988294,0.00500507,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,40,9,False,0.014978337753425034,0.00757928,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,40,11,False,0.3493356515573367,0.00326803,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,40,11,True,0.13009440924007054,0.00329894,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,40,12,False,0.07618755288506611,0.00211471,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,40,14,False,0.974879380658153,0.000945135,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,40,11,False,0.9644711462440767,0.00328346,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,40,11,True,0.4224478419544786,0.00326803,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,40,11,False,0.7213146313624996,0.00325264,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,40,11,False,0.12952312738814045,0.00325264,True
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,40,8,False,0.3615470714520429,0.0115138,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,14,3,False,0.5637028616507731,0.0832645,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,14,1,False,0.31731050786291415,0.317311,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,14,4,True,1.0,0.0455003,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,14,4,False,0.31731050786291415,0.0455003,True
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,14,3,False,0.5637028616507731,0.0832645,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,14,2,False,0.15729920705028502,0.157299,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,14,5,False,0.6547208460185769,0.0253473,True
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_dense,14,3,True,0.5637028616507731,0.0832645,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,14,4,False,1.0,0.0455003,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,14,5,False,0.6547208460185769,0.0253473,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,14,5,False,0.17971249487899976,0.0253473,True
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,14,4,True,0.31731050786291415,0.0455003,True
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,14,4,False,0.31731050786291415,0.0455003,True
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,14,3,False,0.5637028616507731,0.0832645,False
Family 2,factual,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,14,3,False,0.5637028616507731,0.0832645,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,14,4,False,0.5807121621890252,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,14,3,False,0.5929800980174267,0.108809,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,14,4,True,0.8539232992870668,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,14,4,False,0.3572725590318747,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,14,4,False,0.8539232992870668,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,14,3,False,0.10247043485974937,0.10247,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,14,5,False,0.6830913983096087,0.0412268,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,14,3,True,0.5929800980174267,0.108809,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,14,4,False,0.8539232992870668,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,14,6,False,0.6732899796599957,0.0268567,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,14,5,False,0.22067136191984693,0.0412268,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,14,5,True,0.6802795473344503,0.0393595,True
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,14,4,False,0.27332167829229814,0.0678892,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,14,4,False,1.0,0.0655997,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,14,3,False,0.28504940740261275,0.108809,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,15,2,False,0.6547208460185769,0.179712,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,15,2,False,1.0,0.157299,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,15,1,True,0.31731050786291415,0.317311,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,15,1,False,0.31731050786291415,0.317311,False
Family 2,thematic,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,15,1,False,0.31731050786291415,0.317311,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,15,2,False,0.6547208460185769,0.179712,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,15,3,False,0.7854947471183542,0.10247,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_dense,15,3,True,0.27630291733748347,0.10247,False
Family 2,thematic,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,15,3,False,0.27630291733748347,0.10247,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,15,3,False,0.5637028616507731,0.0832645,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,15,3,False,0.5637028616507731,0.0832645,False
Family 2,thematic,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,15,1,True,0.31731050786291415,0.317311,False
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,15,2,False,0.15729920705028502,0.157299,False
Family 2,thematic,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,15,2,False,0.15729920705028502,0.157299,False
Family 2,thematic,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,15,2,False,1.0,0.157299,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,15,3,False,1.0,0.108809,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,15,3,False,0.4142161782425252,0.10247,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,15,1,True,0.31731050786291415,0.317311,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,15,2,False,0.17971249487899976,0.179712,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,15,3,False,0.10880943004054568,0.108809,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,15,3,False,0.28504940740261275,0.108809,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,15,3,False,0.5929800980174267,0.108809,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,15,4,True,0.14412703481601533,0.0678892,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,15,4,False,0.14077277337135014,0.0655997,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,15,3,False,0.4142161782425252,0.10247,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,15,3,False,0.4142161782425252,0.10247,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,15,2,True,0.17971249487899976,0.179712,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,15,2,False,0.15729920705028502,0.157299,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,15,3,False,0.10880943004054568,0.108809,False
Family 2,thematic,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,15,3,False,1.0,0.108809,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,11,1,False,1.0,1,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,11,1,False,1.0,1,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,11,2,True,0.5,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,11,2,False,0.5,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,11,2,False,0.5,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,11,2,False,0.5,0.5,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,11,3,False,0.25,0.25,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_dense,11,3,True,0.25,0.25,False
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,11,3,False,0.25,0.25,False
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,11,3,False,1.0,0.25,False
