family,scope,metric,a,b,win,loss,n_nonzero,p_raw_reported,p_holm_reported,p_raw_exact,p_holm_exact,sig_reported,sig_exact
Family 1,comparative,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk200_hybrid,3,0,3,0.25,1.0,0.25,1.0,False,False
Family 1,comparative,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_bm25,1,2,3,1.0,1.0,1.0,1.0,False,False
Family 1,comparative,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_dense,2,0,2,0.5,1.0,0.5,1.0,False,False
Family 1,comparative,anchor_coverage_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,1,3,1.0,1.0,1.0,1.0,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_bm25,3,0,3,0.25,1.0,0.25,1.0,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_dense,7,0,7,0.015625,0.09375,0.015625,0.09375,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk200_hybrid,6,0,6,0.03125,0.15625,0.03125,0.15625,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_bm25,1,2,3,0.5,1.0,0.5,1.0,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_dense,3,0,3,0.25,1.0,0.25,1.0,False,False
Family 1,comparative,mean_reciprocal_rank_at_5,chunk500_hybrid_enriched,chunk500_hybrid,2,1,3,0.5,1.0,0.5,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,4,2,6,0.338724147759658,1.0,0.4375,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,1,3,4,0.25683925795785656,1.0,0.5,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,3,4,7,0.8623197383894363,1.0,1.0,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,3,4,7,0.6646116295410063,1.0,0.71875,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,2,4,6,0.9146213878996874,1.0,1.0,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,1,5,6,0.043416880216799444,0.6512532032519917,0.0625,0.9375,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,4,7,11,0.3642913030897019,1.0,0.43359375,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_dense,3,6,9,0.5055707258803321,1.0,0.640625,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,3,7,10,0.32326874915737525,1.0,0.39453125,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,6,5,11,0.6807533824170628,1.0,0.7900390625,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,5,4,9,0.3301911186033427,1.0,0.39453125,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,3,3,6,0.5164122683960384,1.0,0.625,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,4,4,8,0.5657197991441898,1.0,0.640625,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,3,4,7,0.9309012350403777,1.0,1.0,1.0,False,False
Family 2,pooled,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,2,3,5,0.580912420333197,1.0,0.8125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,6,3,9,0.2858975599599568,1.0,0.3125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,3,5,8,0.5260658393071347,1.0,0.5703125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,4,4,8,0.6236388261276493,1.0,0.671875,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,4,6,10,0.5067954114046354,1.0,0.544921875,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,2,8,10,0.18457255283988294,1.0,0.20703125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,1,8,9,0.014978337753425034,0.22467506630137551,0.01171875,0.17578125,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,4,7,11,0.3493356515573367,1.0,0.376953125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,3,8,11,0.13009440924007054,1.0,0.1455078125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,3,9,12,0.07618755288506611,1.0,0.078125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,7,7,14,0.974879380658153,1.0,0.98779296875,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,5,6,11,0.9644711462440767,1.0,0.970703125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,4,7,11,0.4224478419544786,1.0,0.44921875,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,5,6,11,0.7213146313624996,1.0,0.7470703125,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,3,8,11,0.12952312738814045,1.0,0.13671875,1.0,False,False
Family 2,pooled,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,3,5,8,0.3615470714520429,1.0,0.421875,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_dense,2,1,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,0,1,1,0.31731050786291415,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,2,2,4,1.0,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,3,1,4,0.31731050786291415,1.0,0.625,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,2,1,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,0,2,2,0.15729920705028502,1.0,0.5,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,2,3,5,0.6547208460185769,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_dense,2,1,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,2,2,4,1.0,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,3,2,5,0.6547208460185769,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,4,1,5,0.17971249487899976,1.0,0.375,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,3,1,4,0.31731050786291415,1.0,0.625,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,3,1,4,0.31731050786291415,1.0,0.625,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,2,1,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,factual,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,1,2,3,0.5637028616507731,1.0,1.0,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,3,1,4,0.5807121621890252,1.0,0.75,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,2,3,0.5929800980174267,1.0,0.75,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,2,2,4,0.8539232992870668,1.0,1.0,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,3,1,4,0.3572725590318747,1.0,0.5,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,2,2,4,0.8539232992870668,1.0,1.0,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,0,3,3,0.10247043485974937,1.0,0.25,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,2,3,5,0.6830913983096087,1.0,0.875,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,2,1,3,0.5929800980174267,1.0,0.75,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,2,2,4,0.8539232992870668,1.0,1.0,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,3,3,6,0.6732899796599957,1.0,0.78125,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,4,1,5,0.22067136191984693,1.0,0.3125,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,3,2,5,0.6802795473344503,1.0,0.8125,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,3,1,4,0.27332167829229814,1.0,0.375,1.0,False,False
Family 2,factual,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,2,2,4,1.0,1.0,1.0,1.0,False,False
